AssetID,RevenueGrowth,PERatio,DebtToEquity,Volatility,ReturnOnAssets,ProfitMargin
1,0.15,24.5,0.45,0.18,0.12,0.16
2,0.08,16.2,1.20,0.24,0.06,0.08
3,0.25,35.0,0.20,0.32,0.15,0.22
4,0.03,12.1,2.10,0.15,0.04,0.05
5,0.18,28.4,0.35,0.22,0.14,0.18
6,0.05,14.8,1.50,0.20,0.05,0.07
7,0.30,42.0,0.10,0.38,0.18,0.25
8,0.12,20.0,0.80,0.16,0.09,0.12
9,0.02,10.5,2.50,0.14,0.03,0.04
10,0.22,31.2,0.30,0.26,0.13,0.19
11,0.09,17.5,1.10,0.21,0.07,0.09
12,0.27,38.5,0.15,0.35,0.16,0.23
13,0.04,13.0,1.80,0.17,0.04,0.06
14,0.16,26.0,0.40,0.19,0.11,0.15
15,0.07,15.5,1.35,0.23,0.06,0.08
16,0.32,45.0,0.08,0.40,0.20,0.28
17,0.11,19.2,0.90,0.18,0.08,0.11
18,0.01,9.8,2.80,0.13,0.02,0.03
19,0.20,29.8,0.28,0.25,0.14,0.17
20,0.06,14.0,1.60,0.19,0.05,0.07
