SquareFeet,Bedrooms,Bathrooms,AgeYears,LocationScore,CrimeRate,CapRate,Price,Approved
1200,2,1.0,15,5.5,4.2,5.1,4500000,0
1500,3,2.0,10,7.0,2.8,6.5,7500000,1
1800,3,2.0,8,7.5,2.2,7.2,9500000,1
2200,4,3.0,5,8.5,1.5,8.0,14000000,1
2600,4,3.5,2,9.2,1.0,8.8,21000000,1
1100,2,1.0,25,5.0,4.8,4.8,3800000,0
1400,3,1.5,16,6.0,3.5,6.0,6200000,0
1700,3,2.0,12,7.2,2.5,7.0,8800000,1
2000,3,2.5,7,8.0,1.9,7.8,11500000,1
2400,4,3.0,3,9.0,1.2,8.5,18000000,1
2800,5,4.0,1,9.5,0.8,9.2,25000000,1
1300,2,1.5,18,5.8,3.8,5.5,5200000,0
1600,3,2.0,14,6.8,3.0,6.7,8000000,1
1900,3,2.5,9,7.8,2.0,7.5,10500000,1
2300,4,3.0,4,8.8,1.4,8.2,16000000,1
