CustomerID,Age,AnnualIncome,SpendingScore,VisitFrequency
1,19,15,39,4
2,21,15,81,12
3,20,16,6,2
4,23,16,77,15
5,31,17,40,5
6,22,17,76,14
7,35,18,6,1
8,23,18,94,18
9,64,19,3,1
10,30,19,72,13
11,67,19,14,3
12,35,19,99,20
13,58,20,15,2
14,24,20,77,16
15,37,20,13,3
16,22,20,79,15
17,35,21,35,6
18,20,21,66,11
19,52,23,29,4
20,35,23,98,19
21,35,24,35,5
22,25,24,73,14
23,46,25,5,1
24,31,25,73,12
25,54,28,14,3
26,29,28,82,16
27,45,28,32,4
28,35,28,61,10
29,40,29,31,5
30,23,29,87,17
31,60,30,4,1
32,21,30,73,13
33,53,33,4,2
34,18,33,92,18
35,49,33,14,3
36,21,33,81,15
37,42,34,17,4
38,30,34,73,12
39,36,37,26,4
40,20,37,75,14
41,49,38,35,6
42,24,38,92,18
43,48,39,36,5
44,31,39,61,11
45,49,39,28,4
46,50,40,55,9
47,27,40,47,8
48,30,40,42,7
49,34,40,42,7
50,29,40,42,8
